,pm_id,title,abstract,publication_types,mesh_terms,substances
10,35672392,Case series of monkeypox infections - PubMed,,{},{},{}
11,35672482,"Host-directed immunotherapy of viral and bacterial infections: past, present and future - PubMed","Abstract
        
      


      
      The advent of COVID-19 and the persistent threat of infectious diseases such as tuberculosis, malaria, influenza and HIV/AIDS remind us of the marked impact that infections continue to have on public health. Some of the most effective protective measures are vaccines but these have been difficult to develop for some of these infectious diseases even after decades of research. The development of drugs and immunotherapies acting directly against the pathogen can be equally challenging, and such pathogen-directed therapeutics have the potential disadvantage of selecting for resistance. An alternative approach is provided by host-directed therapies, which interfere with host cellular processes required for pathogen survival or replication, or target the host immune response to infection (immunotherapies) to either augment immunity or ameliorate immunopathology. Here, we provide a historical perspective of host-directed immunotherapeutic interventions for viral and bacterial infections and then focus on SARS-CoV-2 and Mycobacterium tuberculosis, two major human pathogens of the current era, to indicate the key lessons learned and discuss candidate immunotherapeutic approaches, with a focus on drugs currently in clinical trials.",{'Review': True},{},{}
12,35660812,"Triplet Therapy, Transplantation, and Maintenance until Progression in Myeloma - PubMed","Abstract
        
      



          Background:
        
      
      In patients with newly diagnosed multiple myeloma, the effect of adding autologous stem-cell transplantation (ASCT) to triplet therapy (lenalidomide, bortezomib, and dexamethasone [RVD]), followed by lenalidomide maintenance therapy until disease progression, is unknown.
    


          Methods:
        
      
      In this phase 3 trial, adults (18 to 65 years of age) with symptomatic myeloma received one cycle of RVD. We randomly assigned these patients, in a 1:1 ratio, to receive two additional RVD cycles plus stem-cell mobilization, followed by either five additional RVD cycles (the RVD-alone group) or high-dose melphalan plus ASCT followed by two additional RVD cycles (the transplantation group). Both groups received lenalidomide until disease progression, unacceptable side effects, or both. The primary end point was progression-free survival.
    


          Results:
        
      
      Among 357 patients in the RVD-alone group and 365 in the transplantation group, at a median follow-up of 76.0 months, 328 events of disease progression or death occurred; the risk was 53% higher in the RVD-alone group than in the transplantation group (hazard ratio, 1.53; 95% confidence interval [CI], 1.23 to 1.91; P<0.001); median progression-free survival was 46.2 months and 67.5 months. The percentage of patients with a partial response or better was 95.0% in the RVD-alone group and 97.5% in the transplantation group (P = 0.55); 42.0% and 46.8%, respectively, had a complete response or better (P = 0.99). Treatment-related adverse events of grade 3 or higher occurred in 78.2% and 94.2%, respectively; 5-year survival was 79.2% and 80.7% (hazard ratio for death, 1.10; 95% CI, 0.73 to 1.65).
    


          Conclusions:
        
      
      Among adults with multiple myeloma, RVD plus ASCT was associated with longer progression-free survival than RVD alone. No overall survival benefit was observed. (Funded by the National Heart, Lung, and Blood Institute and others; DETERMINATION ClinicalTrials.gov number, NCT01208662.).",{},{},{}
13,35648703,Neoantigen T-Cell Receptor Gene Therapy in Pancreatic Cancer - PubMed,"Abstract
        
      


      
      A patient with progressive metastatic pancreatic cancer was treated with a single infusion of 16.2×109 autologous T cells that had been genetically engineered to clonally express two allogeneic HLA-C*08:02-restricted T-cell receptors (TCRs) targeting mutant KRAS G12D expressed by the tumors. The patient had regression of visceral metastases (overall partial response of 72% according to the Response Evaluation Criteria in Solid Tumors, version 1.1); the response was ongoing at 6 months. The engineered T cells constituted more than 2% of all the circulating peripheral-blood T cells 6 months after the cell transfer. In this patient, TCR gene therapy targeting the KRAS G12D driver mutation mediated the objective regression of metastatic pancreatic cancer. (Funded by the Providence Portland Medical Foundation.).",{},"{'Genes, T-Cell Receptor / genetics': True, 'Genetic Therapy* / methods': True, 'Humans': True, 'Pancreatic Neoplasms* / genetics': True, 'Pancreatic Neoplasms* / pathology': True, 'Pancreatic Neoplasms* / therapy': True, 'Proto-Oncogene Proteins p21(ras)* / genetics': True, 'Receptors, Antigen, T-Cell* / genetics': True, 'Receptors, Antigen, T-Cell* / therapeutic use': True}","{'KRAS protein, human': True, 'Receptors, Antigen, T-Cell': True, 'Proto-Oncogene Proteins p21(ras)': True}"
14,23320325,[Percutaneous microtenotomy and platelet rich plasma for epicondylitis] - PubMed,"Abstract
        
      


      
      Epicondylitis is common in young patients and athletes. It is usually addressed with uneffective or very aggressive treatments. Due to the recurrence of the condition and the disability it causes its management is very demanding.
    


          Methods:
        
      
      Five patients ages 30-45 years with diagnosis of epicondylitis were treated and followed-up. An outpatient procedure was performed under general anesthesia consisting of percutaneous release of the annular ligament and injection of 5cc of platelet rich plasma from the patient following the centrifugation of a blood sample. Following the injection the patient was referred to physical therapy and rehabilitation with a specific program consisting of isotonic exercises aimed at muscle strengthening.
    


          Results:
        
      
      At the two-week follow-up, important subsidence of symptoms was reported, with full ranges of motion, intact muscle strength, and full resumption of daily life and sports activities.
    


          Conclusions:
        
      
      This alternative method is a good and not very invasive option for patients with epicondylitis, and it may help avoid surgical treatment. An appropriate rehabilitation program contributes to optimize the results and helps patients return sooner to their activities of daily living.",{'English Abstract': True},"{'Adult': True, 'Humans': True, 'Middle Aged': True, 'Orthopedic Procedures / methods': True, 'Platelet-Rich Plasma*': True, 'Tennis Elbow / surgery': True, 'Tennis Elbow / therapy*': True}",{}
15,35662409,BacPROTACs mediate targeted protein degradation in bacteria - PubMed,"Abstract
        
      


      
      Hijacking the cellular protein degradation system offers unique opportunities for drug discovery, as exemplified by proteolysis-targeting chimeras. Despite their great promise for medical chemistry, so far, it has not been possible to reprogram the bacterial degradation machinery to interfere with microbial infections. Here, we develop small-molecule degraders, so-called BacPROTACs, that bind to the substrate receptor of the ClpC:ClpP protease, priming neo-substrates for degradation. In addition to their targeting function, BacPROTACs activate ClpC, transforming the resting unfoldase into its functional state. The induced higher-order oligomer was visualized by cryo-EM analysis, providing a structural snapshot of activated ClpC unfolding a protein substrate. Finally, drug susceptibility and degradation assays performed in mycobacteria demonstrate in vivo activity of BacPROTACs, allowing selective targeting of endogenous proteins via fusion to an established degron. In addition to guiding antibiotic discovery, the BacPROTAC technology presents a versatile research tool enabling the inducible degradation of bacterial proteins.
    



          Keywords:
        
      
      AAA proteases; antimicrobials; bacterial PROTACs; targeted protein degradation.",{},{},{}
16,35660135,Exercise-induced engagement of the IL-15/IL-15Rα axis promotes anti-tumor immunity in pancreatic cancer - PubMed,"Abstract
        
      


      
      Aerobic exercise is associated with decreased cancer incidence and cancer-associated mortality. However, little is known about the effects of exercise on pancreatic ductal adenocarcinoma (PDA), a disease for which current therapeutic options are limited. Herein, we show that aerobic exercise reduces PDA tumor growth, by modulating systemic and intra-tumoral immunity. Mechanistically, exercise promotes immune mobilization and accumulation of tumor-infiltrating IL15Rα+ CD8 T cells, which are responsible for the tumor-protective effects. In clinical samples, an exercise-dependent increase of intra-tumoral CD8 T cells is also observed. Underscoring the translational potential of the interleukin (IL)-15/IL-15Rα axis, IL-15 super-agonist (NIZ985) treatment attenuates tumor growth, prolongs survival, and enhances sensitivity to chemotherapy. Finally, exercise or NIZ985 both sensitize pancreatic tumors to αPD-1, with improved anti-tumor and survival benefits. Collectively, our findings highlight the therapeutic potential of an exercise-oncology axis and identify IL-15 activation as a promising treatment strategy for this deadly disease.
    



          Keywords:
        
      
      IL-15; PD-1; T cell; checkpoint blockade; exercise; immunology; immunotherapy; pancreatic cancer; super-agonist.",{},{},{}
17,35661166,Teclistamab in Relapsed or Refractory Multiple Myeloma - PubMed,"Abstract
        
      



          Background:
        
      
      Teclistamab is a T-cell-redirecting bispecific antibody that targets both CD3 expressed on the surface of T cells and B-cell maturation antigen expressed on the surface of myeloma cells. In the phase 1 dose-defining portion of the study, teclistamab showed promising efficacy in patients with relapsed or refractory multiple myeloma.
    


          Methods:
        
      
      In this phase 1-2 study, we enrolled patients who had relapsed or refractory myeloma after at least three therapy lines, including triple-class exposure to an immunomodulatory drug, a proteasome inhibitor, and an anti-CD38 antibody. Patients received a weekly subcutaneous injection of teclistamab (at a dose of 1.5 mg per kilogram of body weight) after receiving step-up doses of 0.06 mg and 0.3 mg per kilogram. The primary end point was the overall response (partial response or better).
    


          Results:
        
      
      Among 165 patients who received teclistamab, 77.8% had triple-class refractory disease (median, five previous therapy lines). With a median follow-up of 14.1 months, the overall response rate was 63.0%, with 65 patients (39.4%) having a complete response or better. A total of 44 patients (26.7%) were found to have no minimal residual disease (MRD); the MRD-negativity rate among the patients with a complete response or better was 46%. The median duration of response was 18.4 months (95% confidence interval [CI], 14.9 to not estimable). The median duration of progression-free survival was 11.3 months (95% CI, 8.8 to 17.1). Common adverse events included cytokine release syndrome (in 72.1% of the patients; grade 3, 0.6%; no grade 4), neutropenia (in 70.9%; grade 3 or 4, 64.2%), anemia (in 52.1%; grade 3 or 4, 37.0%), and thrombocytopenia (in 40.0%; grade 3 or 4, 21.2%). Infections were frequent (in 76.4%; grade 3 or 4, 44.8%). Neurotoxic events occurred in 24 patients (14.5%), including immune effector cell-associated neurotoxicity syndrome in 5 patients (3.0%; all grade 1 or 2).
    


          Conclusions:
        
      
      Teclistamab resulted in a high rate of deep and durable response in patients with triple-class-exposed relapsed or refractory multiple myeloma. Cytopenias and infections were common; toxic effects that were consistent with T-cell redirection were mostly grade 1 or 2. (Funded by Janssen Research and Development; MajesTEC-1 ClinicalTrials.gov numbers, NCT03145181 and NCT04557098.).",{},{},{}
18,35672400,Cardiac fibroblasts regulate the development of heart failure via Htra3-TGF-β-IGFBP7 axis - PubMed,"Abstract
        
      


      
      Tissue fibrosis and organ dysfunction are hallmarks of age-related diseases including heart failure, but it remains elusive whether there is a common pathway to induce both events. Through single-cell RNA-seq, spatial transcriptomics, and genetic perturbation, we elucidate that high-temperature requirement A serine peptidase 3 (Htra3) is a critical regulator of cardiac fibrosis and heart failure by maintaining the identity of quiescent cardiac fibroblasts through degrading transforming growth factor-β (TGF-β). Pressure overload downregulates expression of Htra3 in cardiac fibroblasts and activated TGF-β signaling, which induces not only cardiac fibrosis but also heart failure through DNA damage accumulation and secretory phenotype induction in failing cardiomyocytes. Overexpression of Htra3 in the heart inhibits TGF-β signaling and ameliorates cardiac dysfunction after pressure overload. Htra3-regulated induction of spatio-temporal cardiac fibrosis and cardiomyocyte secretory phenotype are observed specifically in infarct regions after myocardial infarction. Integrative analyses of single-cardiomyocyte transcriptome and plasma proteome in human reveal that IGFBP7, which is a cytokine downstream of TGF-β and secreted from failing cardiomyocytes, is the most predictable marker of advanced heart failure. These findings highlight the roles of cardiac fibroblasts in regulating cardiomyocyte homeostasis and cardiac fibrosis through the Htra3-TGF-β-IGFBP7 pathway, which would be a therapeutic target for heart failure.",{},{},{}
19,35672148,Microglial mTOR Activation Upregulates Trem2 and Enhances β-Amyloid Plaque Clearance in the 5XFAD Alzheimer's Disease Model - PubMed,"Abstract
        
      


      
      The mechanistic Target of Rapamycin (mTOR) signaling pathway plays a major role in key cellular processes including metabolism and differentiation; however, the role of mTOR in microglia and its importance in Alzheimer's disease (AD) has remained largely uncharacterized. We report that selective loss of Tsc1, a negative regulator of mTOR, in microglia in mice of both sexes, caused mTOR activation and upregulation of Trem2 with enhanced β-Amyloid clearance, reduced spine loss, and improved cognitive function in the 5XFAD AD mouse model. Combined loss of Tsc1 and Trem2 in microglia led to reduced β-Amyloid clearance and increased Aβ plaque burden revealing that Trem2 functions downstream of mTOR. Tsc1 mutant microglia showed increased phagocytosis with upregulation of CD68 and Lamp1 lysosomal proteins. In vitro studies using Tsc1-deficient microglia revealed enhanced endocytosis of the lysosomal tracker indicator Green DND-26 suggesting increased lysosomal activity. Incubation of Tsc1-deficient microglia with fluorescent-labeled Aβ revealed enhanced Aβ uptake and clearance, which was blunted by rapamycin, an mTOR inhibitor. In vivo treatment of mice of relevant genotypes in the 5XFAD background with rapamycin, affected microglial activity, decreased Trem2 expression and reduced Aβ clearance causing an increase in Aβ plaque burden. Prolonged treatment with rapamycin caused even further reduction of mTOR activity, reduction in Trem2 expression, and increase in Aβ levels. Together, our findings reveal that mTOR signaling in microglia is critically linked to Trem2 regulation and lysosomal biogenesis, and that the up-regulation of Trem2 in microglia through mTOR activation could be exploited towards better therapeutic avenues to β-Amyloid-related AD pathologies.Significance statement:mTOR signaling pathway is a key regulator for major cellular metabolic processes. However, the link between mTOR signaling and AD is not well understood. In this study, we provide compelling in vivo evidence that mTOR activation in microglia would benefit β-Amyloid related AD pathologies, as it upregulates Trem2, a key receptor for β-Amyloid plaque uptake. Inhibition of mTOR pathway with rapamycin, a well-established immunosuppressant, downregulated Trem2 in microglia and reduced β-Amyloid plaque clearance indicating that mTOR inactivation may be detrimental in β-Amyloid-associated AD patients. This finding will have a significant public health impact and benefit, regarding the usage of rapamycin in AD patients, which we believe will aggravate the β-Amyloid-related AD pathologies.",{},{},{}
